#x_ref_m;y_ref_m;width_right_m;width_left_m;x_normvec_m;y_normvec_m;alpha_m;s_racetraj_m;psi_racetraj_rad;kappa_racetraj_radpm;vx_racetraj_mps;ax_racetraj_mps2
-0.030047;0.0023037;7.6200557;7.6799443;-0.9997958;-0.0202092;5.1869239;0.0;-3.1214212;-2.1e-06;63.9066549;0.3178305
0.0913128;-5.9954796;7.6199562;7.6800438;-0.9997949;-0.0202501;5.1873235;5.9992233;-3.121435;-2.5e-06;63.9363908;0.3140748
0.2129069;-11.9932774;7.619847;7.680153;-0.9997942;-0.0202872;5.1880452;11.998446;-3.1214504;-2.7e-06;63.9657616;0.3103654
0.3347124;-17.9910888;7.6197299;7.6802701;-0.9997935;-0.0203204;5.1890738;17.9976667;-3.1214671;-2.9e-06;63.9947723;0.3067017
0.4567061;-23.9889129;7.6185394;7.6814606;-0.9997929;-0.0203498;5.1903952;23.9968841;-3.1214853;-3.2e-06;64.0234277;0.303083
0.5788649;-29.9867487;7.6204694;7.6795306;-0.9997924;-0.0203754;5.1919962;29.9960967;-3.1215053;-3.5e-06;64.0517323;0.2995088
0.7011657;-35.9845953;7.620481;7.679519;-0.999792;-0.0203971;5.193865;35.9953032;-3.1215273;-3.9e-06;64.0796909;0.2959784
0.8235856;-41.9824518;7.620435;7.679565;-0.9997916;-0.020415;5.1959912;41.9945021;-3.1215516;-4.3e-06;64.1073079;0.2924913
0.9461013;-47.9803173;7.6203135;7.6796865;-0.9997913;-0.020429;5.1983665;47.993692;-3.1215785;-4.7e-06;64.1345879;0.2890469
1.0686898;-53.9781907;7.6202698;7.6797302;-0.9997911;-0.0204392;5.2009844;53.9928716;-3.1216083;-5.2e-06;64.1615352;0.2856446
1.191328;-59.9760711;7.6197377;7.6802623;-0.999791;-0.0204455;5.2038406;59.9920394;-3.1216415;-5.8e-06;64.1881542;0.2822838
1.3139929;-65.9739577;7.6201537;7.6798463;-0.9997909;-0.020448;5.2069337;65.9911939;-3.1216785;-6.5e-06;64.2144491;0.278964
1.4366613;-71.9718495;7.6200424;7.6799576;-0.9997909;-0.0204466;5.2102654;71.9903339;-3.12172;-7.3e-06;64.2404242;0.2756845
1.5593101;-77.9697455;7.6200061;7.6799939;-0.9997911;-0.0204415;5.2138409;77.9894577;-3.1217664;-8.2e-06;64.2660837;0.2724448
1.6819163;-83.9676448;7.6208257;7.6791743;-0.9997912;-0.0204324;5.2176694;83.9885641;-3.1218187;-9.2e-06;64.2914315;0.2692444
1.8044568;-89.9655465;7.621018;7.678982;-0.9997915;-0.0204195;5.2217653;89.9876517;-3.1218775;-1.04e-05;64.3164717;0.2660826
1.9269084;-95.9634497;7.6210438;7.6789562;-0.9997918;-0.0204028;5.2261479;95.9867189;-3.121944;-1.18e-05;64.3412083;0.2629587
2.0492482;-101.9613533;7.6210602;7.6789398;-0.9997923;-0.0203822;5.2308431;101.9857643;-3.1220192;-1.33e-05;64.3656451;0.2598723
2.171453;-107.9592566;7.6210685;7.6789315;-0.9997928;-0.0203578;5.2358836;107.9847867;-3.1221042;-1.51e-05;64.389786;0.2568226
2.2934997;-113.9571584;7.6211106;7.6788894;-0.9997933;-0.0203296;5.2413102;113.9837846;-3.1222007;-1.71e-05;64.4136346;0.253809
2.4153653;-119.9550579;7.6210654;7.6789346;-0.999794;-0.0202975;5.2471724;119.9827565;-3.12231;-1.94e-05;64.4371947;0.2508306
2.5370267;-125.9529542;7.621139;7.678861;-0.9997947;-0.0202615;5.2535306;125.9817012;-3.1224343;-2.21e-05;64.4604699;0.2478866
2.6584607;-131.9508464;7.6217338;7.6782662;-0.9997955;-0.0202218;5.2604583;131.9806173;-3.1225759;-2.52e-05;64.4834635;0.2449758
